Title,Info,Rating,IMG_URL
Perfect Blue,"Movie (1 eps)
        Feb 1998 - Feb 1998
        562,510 members",8.52,https://cdn.myanimelist.net/r/50x70/images/anime/11/79127.jpg?s=9b05b16f15f6d4d6ead6a275493a0c41
Steins;Gate 0,"TV (23 eps)
        Apr 2018 - Sep 2018
        757,738 members",8.52,https://cdn.myanimelist.net/r/50x70/images/anime/1375/93521.jpg?s=d4b7e6cbc3f675048b0f1e33adefe445
Nana,"TV (47 eps)
        Apr 2006 - Mar 2007
        545,874 members",8.51,https://cdn.myanimelist.net/r/50x70/images/anime/2/11232.jpg?s=fdcbc61fd7e6407fe3810192a1684acd
One Punch Man,"TV (12 eps)
        Oct 2015 - Dec 2015
        2,787,267 members",8.51,https://cdn.myanimelist.net/r/50x70/images/anime/12/76049.jpg?s=40b6c7dbbbb94c44675116d301150078
Uchuu Kyoudai,"TV (99 eps)
        Apr 2012 - Mar 2014
        175,041 members",8.51,https://cdn.myanimelist.net/r/50x70/images/anime/7/37573.jpg?s=06ec6a5082edeba2a16056a042858ab5
Ansatsu Kyoushitsu 2nd Season,"TV (25 eps)
        Jan 2016 - Jul 2016
        1,228,557 members",8.51,https://cdn.myanimelist.net/r/50x70/images/anime/8/77966.jpg?s=4161bf9d25a2816af9642ead2cd3a831
Banana Fish,"TV (24 eps)
        Jul 2018 - Dec 2018
        708,591 members",8.51,https://cdn.myanimelist.net/r/50x70/images/anime/1190/93472.jpg?s=a44d13e8e51c4c0e8f80f019e142614c
Hotaru no Haka,"Movie (1 eps)
        Apr 1988 - Apr 1988
        574,681 members",8.51,https://cdn.myanimelist.net/r/50x70/images/anime/7/75808.jpg?s=ced3a39f507fbd93b4f63edd9d1650b8
Karakai Jouzu no Takagi-san 3,"TV (12 eps)
        Jan 2022 - Mar 2022
        130,717 members",8.51,https://cdn.myanimelist.net/r/50x70/images/anime/1861/120361.jpg?s=5334524cd9458aa6780d00471b2f07d7
Aria the Origination,"TV (13 eps)
        Jan 2008 - Apr 2008
        114,878 members",8.50,https://cdn.myanimelist.net/r/50x70/images/anime/6/77623.jpg?s=9423b1d79350b92de1c3a4babb29ea6b
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,"TV (39 eps)
        Apr 2016 - Dec 2016
        929,316 members",8.50,https://cdn.myanimelist.net/r/50x70/images/anime/3/79156.jpg?s=9189ddeb4a702d774b985fe16f315a81
Samurai Champloo,"TV (26 eps)
        May 2004 - Mar 2005
        1,097,819 members",8.50,https://cdn.myanimelist.net/r/50x70/images/anime/1375/121599.jpg?s=690d61d9517bcc79a007c21f1e9b58e8
Shingeki no Kyojin Season 2,"TV (12 eps)
        Apr 2017 - Jun 2017
        2,307,975 members",8.50,https://cdn.myanimelist.net/r/50x70/images/anime/4/84177.jpg?s=74f2f396ab23eee08691546aaa2c6fad
Tian Guan Ci Fu Special,"ONA (1 eps)
        Feb 2021 - Feb 2021
        30,298 members",8.50,https://cdn.myanimelist.net/r/50x70/images/anime/1043/110306.jpg?s=4ad346d5d71ea633f204f838891b72c7
Rainbow: Nisha Rokubou no Shichinin,"TV (26 eps)
        Apr 2010 - Sep 2010
        357,680 members",8.49,https://cdn.myanimelist.net/r/50x70/images/anime/9/72697.jpg?s=4752a62572e2172fe039d10d7163a125
Mob Psycho 100,"TV (12 eps)
        Jul 2016 - Sep 2016
        1,721,657 members",8.48,https://cdn.myanimelist.net/r/50x70/images/anime/8/80356.jpg?s=1d7f8902c64d166b821e50ea68267c2a
